x, y, th, stamp, 
-1.867981712167679,-0.4837895954343397,geometry_msgs.msg.Quaternion(x=-0.0004771263961421052, y=0.0028287593967685175, z=0.1820530327640451, w=0.9832845283701412),28390000000
-1.8679817196909727,-0.4837895989814888,geometry_msgs.msg.Quaternion(x=-0.0004770307635514326, y=0.0028282546937442657, z=0.18205302837483195, w=0.9832845306810185),28424000000
-1.8679817279588944,-0.48378960188357606,geometry_msgs.msg.Quaternion(x=-0.0004769304275742191, y=0.0028277244589599657, z=0.18205302518407446, w=0.9832845328454415),28458000000
-1.8669036360341464,-0.48337639178632463,geometry_msgs.msg.Quaternion(x=-0.0004677432314909328, y=0.0027813623929997346, z=0.1820415287262907, w=0.9832867979681734),28492000000
-1.864746535122253,-0.4825498338299552,geometry_msgs.msg.Quaternion(x=-0.00044874194768978164, y=0.002694260688257136, z=0.18200777647996805, w=0.983293297491052),28526000000
-1.8615104900740331,-0.48130943773794244,geometry_msgs.msg.Quaternion(x=-0.00042068288280325316, y=0.00257747014934587, z=0.1819795636350946, w=0.9832988447530698),28560000000
-1.8571954591324182,-0.4796559146023559,geometry_msgs.msg.Quaternion(x=-0.0003841340958540985, y=0.0024333070451709594, z=0.1819532636442547, w=0.9833040940151854),28594000000
-1.851801358153257,-0.47758931002160887,geometry_msgs.msg.Quaternion(x=-0.00033934697171348797, y=0.0022618684089297904, z=0.1819225640879136, w=0.9833102000236816),28628000000
-1.8453281362765008,-0.4751097684223964,geometry_msgs.msg.Quaternion(x=-0.0002866148848897187, y=0.002063300075690151, z=0.18189194183228757, w=0.9833163184556559),28662000000
-1.8377757585437553,-0.472217387158012,geometry_msgs.msg.Quaternion(x=-0.00022621828235009584, y=0.001837754491379243, z=0.18186378071709094, w=0.9833219903709081),28696000000
-1.829144170038203,-0.4689122614928188,geometry_msgs.msg.Quaternion(x=-0.00015841878263862805, y=0.0015853909385001898, z=0.18183494846169074, w=0.9833277749341751),28730000000
-1.8194333093711725,-0.4651945318112645,geometry_msgs.msg.Quaternion(x=-8.348388346798963e-05, y=0.0013063707104336232, z=0.18180488948326437, w=0.9833337523882654),28764000000
-1.808643129025993,-0.461064328552158,geometry_msgs.msg.Quaternion(x=-1.6813677292880472e-06, y=0.0010008579873614766, z=0.18177549090386028, w=0.9833395492845403),28798000000
-1.796773583860437,-0.4565217556250625,geometry_msgs.msg.Quaternion(x=8.673299771022888e-05, y=0.0006690223723019089, z=0.18174657198148, w=0.9833451725917167),28832000000
-1.7838246183112871,-0.4515669340373273,geometry_msgs.msg.Quaternion(x=0.00018151020901931836, y=0.00031103781259365687, z=0.1817170990390702, w=0.9833507849319836),28866000000
-1.7697961765991146,-0.44620000113456904,geometry_msgs.msg.Quaternion(x=0.0002824046605916325, y=-7.291834741569888e-05, z=0.1816874119521144, w=0.9833562931454016),28900000000
-1.7552107882810197,-0.44060217367350435,geometry_msgs.msg.Quaternion(x=0.0003851670271855858, y=-0.0004618137208394618, z=0.18347803164064236, w=0.9830236265114505),28934000000
-1.7401664858707602,-0.43467745039880257,geometry_msgs.msg.Quaternion(x=0.0004944928603155214, y=-0.0008538256826305226, z=0.19048331261634455, w=0.9816899378486156),28968000000
-1.7247144025301073,-0.42825171814089236,geometry_msgs.msg.Quaternion(x=0.0006198251033768543, y=-0.001247684422700946, z=0.20155948024465273, w=0.9794752855605536),29002000000
-1.7092318613458626,-0.4213662573140817,geometry_msgs.msg.Quaternion(x=0.0007636558927530824, y=-0.0016272294869272292, z=0.21380950310318228, w=0.9768737202610399),29036000000
-1.6939207631092839,-0.4141016324259186,geometry_msgs.msg.Quaternion(x=0.0009238867880077821, y=-0.0019834503731579133, z=0.22540200033008317, w=0.9742633887224836),29070000000
-1.6787811860928055,-0.4064822173706028,geometry_msgs.msg.Quaternion(x=0.0010983058359051144, y=-0.002316743006535743, z=0.23663724588028567, w=0.9715946893063618),29104000000
-1.6638261114397308,-0.39850945688246037,geometry_msgs.msg.Quaternion(x=0.0012854496894989056, y=-0.002627647647719215, z=0.2482680880736847, w=0.968686946093098),29138000000
-1.649068199101756,-0.3901773257109326,geometry_msgs.msg.Quaternion(x=0.0014821523397682208, y=-0.002916772531198902, z=0.2599376963629838, w=0.9656198473892034),29172000000
-1.6345122521048765,-0.38149465455221876,geometry_msgs.msg.Quaternion(x=0.0016864145393935752, y=-0.003184482826774987, z=0.27131369264383914, w=0.9624842311742523),29206000000
-1.6201655052664994,-0.3724718066067964,geometry_msgs.msg.Quaternion(x=0.00189777158785377, y=-0.003423329427046594, z=0.2826759596341907, w=0.9592074755356756),29240000000
-1.6060380028888306,-0.3631100414519032,geometry_msgs.msg.Quaternion(x=0.0021158304521798794, y=-0.00362626729565555, z=0.29413151126909487, w=0.9557557363288786),29274000000
-1.5921377862460517,-0.35341286238165587,geometry_msgs.msg.Quaternion(x=0.0023385122283856, y=-0.003793722616760777, z=0.3054941465752086, w=0.952183525081982),29308000000
-1.578471115890474,-0.3433878823455289,geometry_msgs.msg.Quaternion(x=0.0025617356385078793, y=-0.0039270918219511935, z=0.31675355421158513, w=0.9484962843125263),29342000000
-1.56849214258187,-0.33658033592190756,geometry_msgs.msg.Quaternion(x=0.003115622441108801, y=-0.004100377074219367, z=0.32835258472905055, w=0.9445411901586956),29376000000
-1.5641215528619736,-0.3351124343232567,geometry_msgs.msg.Quaternion(x=0.004168441858883338, y=-0.004372016989549245, z=0.3405465691600127, w=0.9402082449081465),29410000000
